"run","CapacityAtEnd (Stddev)"
"0","0.0106442472725881"
"1","0.00491934955049954"
"2","0.010876580344943"
"3","0.010876580344943"
"4","0.0100598210719674"
"5","0.00571839138219832"
"6","0.0108258948821795"
"7","0.00983361581515162"
"8","0.0139713993572584"
"9","0.011379806676741"
"10","0.0105214067500501"
"11","0.0084970583144992"
"12","0.0138311243216161"
"13","0.010876580344943"
"14","0.010876580344943"
"15","0.00571839138219832"
"16","0.011379806676741"
"17","0.0138311243216161"
"18","0.00565685424949238"
"19","0.0110317722964173"
"20","0.0132928552237659"
"21","0.00594138031100518"
"22","0.00594138031100518"
"23","0.0056302753041037"
"24","0.0133529023062404"
"25","0.0119289563667573"
"26","0.00565685424949238"
"27","0.00565685424949238"
"28","0.00715541752799932"
"29","0.0101734949746879"
"30","0.0137731623093609"
"31","0.0164529632589391"
"32","0.00565685424949238"
"33","0.0107935165724615"
"34","0.0173262806164508"
"35","0.016607227342335"
"36","0.0137658998979362"
"37","0.00565685424949238"
"38","0.010876580344943"
"39","0.0164529632589391"
"40","0.0108258948821795"
"41","0.0110317722964173"
"42","0.010876580344943"
"43","0.0139463256809814"
"44","0.0106442472725881"
"45","0.0107935165724615"
"46","0.0109453186340097"
"47","0.0137731623093609"
"48","0.0056302753041037"
"49","0.0148391374412396"
"50","0.00609918027279076"
"51","0.00491934955049954"
"52","0.011379806676741"
"53","0.00563914887194867"
"54","0.0161152102065099"
"55","0.0138816425541072"
"56","0.010807404868885"
"57","0.0138311243216161"
"58","0.00594138031100518"
"59","0.00571839138219832"
"60","0.0106442472725881"
"61","0.00563914887194867"
"62","0.0106442472725881"
"63","0.00581377674149945"
"64","0.0106442472725881"
"65","0.00571839138219832"
"66","0.00491934955049954"
"67","0.0138311243216161"
"68","0.0107842477716343"
"69","0.0155659885648166"
"70","0.0106442472725881"
"71","0.0106442472725881"
"72","0.0137658998979362"
"73","0.0111220501707194"
"74","0.00609918027279076"
"75","0.0208134571851963"
"76","0.0117983049630021"
"77","0.0119289563667573"
"78","0.00950263121456368"
"79","0.0105214067500501"
"80","0.0111220501707194"
"81","0.0116490342947388"
"82","0.016379865689315"
"83","0.0101734949746879"
"84","0.0135572858640659"
"85","0.010876580344943"
"86","0.0204646035876584"
"87","0.0107796103825695"
"88","0.0056302753041037"
"89","0.00571839138219832"
"90","0.00950263121456368"
"91","0.00565685424949238"
"92","0.00581377674149945"
"93","0.00563914887194867"
"94","0.0166493243106139"
"95","0.0138311243216161"
"96","0.0105214067500501"
"97","0.010876580344943"
"98","0.0159530561335438"
"99","0.0108258948821795"
"mean","0.0105372406858409"
"min","0.00491934955049954"
"max","0.0208134571851963"
"lower","0.00980077572831444"
"upper","0.0112737056433674"
"error","0.000736464957526486"
