"run","UDPPacketLoss (Percent)"
"0","0.0143864192202581"
"1","0.0144362638949014"
"2","0.0146563095412611"
"3","0.0146177459435792"
"4","0.0149276011344956"
"5","0.0293169158604556"
"6","0.0448967375037412"
"7","0.0449034575662366"
"8","0.0291417747340761"
"9","0.0147362216327718"
"10","0.0146993973247134"
"11","0.0147362216327718"
"12","0.0438981562774332"
"13","0.0298418382572385"
"14","0.0585908891167386"
"15","0.0449977501124965"
"16","0.0145116819039282"
"17","0.014592149423609"
"18","0.0148809523809579"
"19","0.0150082545399943"
"20","0.0297441998810211"
"21","0.0445037828215367"
"22","0.0433025404157017"
"23","0.0146627565982382"
"24","0.0443458980044387"
"25","0.0143636885952314"
"26","0.0145900204260307"
"27","0.0149476831091233"
"28","0.0602137588438967"
"29","0.0148809523809579"
"30","0.0436300174520121"
"31","0.0150353330326314"
"32","0.102459016393441"
"33","0.0292954445583749"
"34","0.0741179958493876"
"35","0.0146070698217926"
"36","0.0149655791679137"
"37","0.0146735143066734"
"38","0.0146541617819462"
"39","0.0143719459614777"
"40","0.0146412884333813"
"41","0.0293815190245295"
"42","0.0151148730350714"
"43","0.058105752469495"
"44","0.0755629439322947"
"45","0.0439174352217853"
"46","0.0721396623863835"
"47","0.0433025404157017"
"48","0.0144927536231854"
"49","0.0148038490007441"
"50","0.014643432420558"
"51","0.0434719605854172"
"52","0.0443393437777106"
"53","0.0146070698217926"
"54","0.0448028673835088"
"55","0.0442086648983153"
"56","0.0293040293040336"
"57","0.0292483182216974"
"58","0.0146713615023497"
"59","0.0740082889283622"
"60","0.0147819660014759"
"61","0.0296691885476985"
"62","0.0593207771021786"
"63","0.0145433391506744"
"64","0.0289477493124912"
"65","0.0149276011344956"
"66","0.0449370880766908"
"67","0.0443918319029346"
"68","0.014757969303425"
"69","0.0287026406429414"
"70","0.0733783387144138"
"71","0.0147015583651822"
"72","0.0295508274231637"
"73","0.0588928150765611"
"74","0.0445964025568624"
"75","0.014708045300782"
"76","0.0146327187591444"
"77","0.0435287289611175"
"78","0.0431158378844443"
"79","0.043246360098026"
"80","0.0145772594752236"
"81","0.0145412243710896"
"82","0.0600330181599884"
"83","0.0719217491369384"
"84","0.0143884892086277"
"85","0.014660606949124"
"86","0.0290317898098413"
"87","0.0427715996578315"
"88","0.0436871996504995"
"89","0.0863557858376551"
"90","0.0146156094709138"
"91","0.0733675715333781"
"92","0.0146498681511842"
"93","0.0147492625368728"
"94","0.0440593332354244"
"95","0.014349261013058"
"96","0.0437062937062915"
"97","0.0443196927167988"
"98","0.0146541617819462"
"99","0.0145857642940506"
"mean","0.0323026737680124"
"min","0.014349261013058"
"max","0.102459016393441"
"lower","0.0282037087666862"
"upper","0.0364016387693386"
"error","0.00409896500132621"
