"run","CapacityAtEnd (Stddev)"
"0","0.0208134571851963"
"1","0.0208134571851963"
"2","0.0204646035876584"
"3","0.0208134571851963"
"4","0.0204646035876584"
"5","0.0206349218559218"
"6","0.0206349218559218"
"7","0.0200049993751562"
"8","0.0204646035876584"
"9","0.0213728800118281"
"10","0.0213728800118281"
"11","0.0198695747312317"
"12","0.0158745078663875"
"13","0.0205426385841741"
"14","0.0206349218559218"
"15","0.0208134571851963"
"16","0.0203027091788264"
"17","0.0208134571851963"
"18","0.0206349218559218"
"19","0.0205426385841741"
"20","0.0204646035876584"
"21","0.0205426385841741"
"22","0.0208134571851963"
"23","0.0213728800118281"
"24","0.0171230838344032"
"25","0.0165589854761697"
"26","0.0203027091788264"
"27","0.0216610249064997"
"28","0.0164255897915417"
"29","0.0204646035876584"
"30","0.0204646035876584"
"31","0.0208134571851963"
"32","0.0205426385841741"
"33","0.0219544984001002"
"34","0.0206349218559218"
"35","0.0205426385841741"
"36","0.0208134571851963"
"37","0.0208134571851963"
"38","0.0203027091788264"
"39","0.0205426385841741"
"40","0.0208134571851963"
"41","0.0208134571851963"
"42","0.0204646035876584"
"43","0.0208134571851963"
"44","0.0205426385841741"
"45","0.0216610249064997"
"46","0.0208134571851963"
"47","0.0203027091788264"
"48","0.0204646035876584"
"49","0.0208134571851963"
"50","0.0213728800118281"
"51","0.0208134571851963"
"52","0.0203027091788264"
"53","0.0213728800118281"
"54","0.0210902821223425"
"55","0.0206349218559218"
"56","0.0213728800118281"
"57","0.0208134571851963"
"58","0.0208134571851963"
"59","0.016192590898309"
"60","0.0208134571851963"
"61","0.0200049993751562"
"62","0.0204646035876584"
"63","0.0208134571851963"
"64","0.0204646035876584"
"65","0.0208134571851963"
"66","0.0204646035876584"
"67","0.0206349218559218"
"68","0.0204646035876584"
"69","0.0203027091788264"
"70","0.0208134571851963"
"71","0.0206349218559218"
"72","0.0206349218559218"
"73","0.0161554944214035"
"74","0.0208134571851963"
"75","0.0203027091788264"
"76","0.018132843130629"
"77","0.0200049993751562"
"78","0.0203027091788264"
"79","0.0205426385841741"
"80","0.0205426385841741"
"81","0.0203027091788264"
"82","0.0213728800118281"
"83","0.0208134571851963"
"84","0.0205426385841741"
"85","0.0206349218559218"
"86","0.0201494416796099"
"87","0.0203027091788264"
"88","0.0206349218559218"
"89","0.0204646035876584"
"90","0.0201494416796099"
"91","0.0206349218559218"
"92","0.0208134571851963"
"93","0.0204646035876584"
"94","0.0206349218559218"
"95","0.0203027091788264"
"96","0.0204646035876584"
"97","0.0208134571851963"
"98","0.0213728800118281"
"99","0.0204646035876584"
"mean","0.0203877668003309"
"min","0.0158745078663875"
"max","0.0219544984001002"
"lower","0.0201670529080998"
"upper","0.020608480692562"
"error","0.000220713892231109"
