"run","UDPPacketLoss (Percent)"
"0","0.043554006968638"
"1","0.0441761154469145"
"2","0.0288101411696884"
"3","0.0751766651631347"
"4","0.0587544065804968"
"5","0.0148038490007441"
"6","0.0297707651086609"
"7","0.029647198339755"
"8","0.0145137880986912"
"9","0.0288850375505523"
"10","0.0148389968838147"
"11","0.0146950771491516"
"12","0.043981820847383"
"13","0.0447494033412932"
"14","0.0148038490007441"
"15","0.0144843568945507"
"16","0.0434279096699464"
"17","0.014630577907826"
"18","0.0295683027794258"
"19","0.04362367311328"
"20","0.0734430082256154"
"21","0.0437956204379586"
"22","0.0591278640059145"
"23","0.0572327943911821"
"24","0.0297530496875975"
"25","0.0437572928821517"
"26","0.0146391450739247"
"27","0.0427899015832289"
"28","0.0606704080084897"
"29","0.0436871996504995"
"30","0.0434090580234359"
"31","0.0737571913261514"
"32","0.0584880830530765"
"33","0.0451671183378521"
"34","0.0430848772080994"
"35","0.0447360572621514"
"36","0.0149992500374951"
"37","0.0148367952522266"
"38","0.0148301942755502"
"39","0.0590580245090844"
"40","0.0592943966795101"
"41","0.0869187309865294"
"42","0.0147449130050159"
"43","0.0898338074562077"
"44","0.0444115470022211"
"45","0.0148809523809579"
"46","0.0583856371332625"
"47","0.029073993312978"
"48","0.0436300174520121"
"49","0.0598354525056077"
"50","0.0743273375947706"
"51","0.014556040756919"
"52","0.0150262960180281"
"53","0.0292740046838436"
"54","0.0145412243710896"
"55","0.0449775112443818"
"56","0.0147994672191842"
"57","0.0144133756125653"
"58","0.0732815477062831"
"59","0.0290486564996417"
"60","0.0293427230046994"
"61","0.0440334654337349"
"62","0.0437956204379586"
"63","0.0445964025568624"
"64","0.0294074400823408"
"65","0.014518002322883"
"66","0.0144822592324401"
"67","0.045537340619306"
"68","0.0297044408139047"
"69","0.0145222189950611"
"70","0.0895121587348946"
"71","0.045180722891569"
"72","0.014963339817442"
"73","0.0588321812031167"
"74","0.0291460215680606"
"75","0.0145539222820568"
"76","0.0147123731057852"
"77","0.0292954445583749"
"78","0.0580467276157348"
"79","0.0577200577200565"
"80","0.0148345942738493"
"81","0.0434216239687313"
"82","0.0588754783632628"
"83","0.0145222189950611"
"84","0.0434719605854172"
"85","0.0438532378307266"
"86","0.0147666863555829"
"87","0.0588668138337023"
"88","0.014293882218408"
"89","0.0145412243710896"
"90","0.0581987487269009"
"91","0.0147449130050159"
"92","0.0287315040942371"
"93","0.0294898260100318"
"94","0.0746045956430907"
"95","0.0147167034584283"
"96","0.0449236298292854"
"97","0.0881575080811103"
"98","0.0585908891167386"
"99","0.0294594196494358"
"mean","0.0383838210527377"
"min","0.014293882218408"
"max","0.0898338074562077"
"lower","0.0341979006860862"
"upper","0.0425697414193893"
"error","0.00418592036665152"
