"run","UDPPacketLoss (Percent)"
"0","0.0291715285881011"
"1","0.014801657785668"
"2","0.0589535740604274"
"3","0.0149902563333804"
"4","0.0148170099273925"
"5","0.0146348602370838"
"6","0.0440270032286416"
"7","0.0150082545399943"
"8","0.043484562980145"
"9","0.073303034745642"
"10","0.0441176470588278"
"11","0.014660606949124"
"12","0.0868306801736662"
"13","0.0148389968838147"
"14","0.0289017341040476"
"15","0.0584709837743058"
"16","0.0438532378307266"
"17","0.0147297098247123"
"18","0.0443590122726656"
"19","0.0296252407050779"
"20","0.0147145379635116"
"21","0.0147732309055959"
"22","0.0580383052814826"
"23","0.0142795944595209"
"24","0.0296868042155229"
"25","0.043484562980145"
"26","0.0145815106445069"
"27","0.0430972561413556"
"28","0.0750075007500794"
"29","0.10158177332753"
"30","0.0735835172921306"
"31","0.0728119994174992"
"32","0.0732815477062831"
"33","0.0148632580261543"
"34","0.0731528895391409"
"35","0.0147058823529389"
"36","0.0297751972606841"
"37","0.0445235975066738"
"38","0.0148257968865861"
"39","0.0144425187752706"
"40","0.0596214040840648"
"41","0.0296340198547962"
"42","0.045105999097883"
"43","0.0715205263910779"
"44","0.0298107020420324"
"45","0.0447227191413213"
"46","0.0454201362604101"
"47","0.014592149423609"
"48","0.0288018433179715"
"49","0.0148170099273925"
"50","0.059479553903341"
"51","0.0441956393635867"
"52","0.0147449130050159"
"53","0.0870827285921583"
"54","0.0147775971626962"
"55","0.0596925831965356"
"56","0.0143884892086277"
"57","0.0449842555105717"
"58","0.0147123731057852"
"59","0.0581310855980233"
"60","0.0152975370965258"
"61","0.0148720999405105"
"62","0.0294811320754707"
"63","0.0147863374242219"
"64","0.029073993312978"
"65","0.0148787382829974"
"66","0.073572689817536"
"67","0.0443786982248562"
"68","0.0588668138337023"
"69","0.0148411991688913"
"70","0.0444971818451489"
"71","0.0150195253829977"
"72","0.0440076279888513"
"73","0.0452830188679254"
"74","0.0145687645687675"
"75","0.0297000297000305"
"76","0.0441371193173445"
"77","0.0146498681511842"
"78","0.0142551674982228"
"79","0.0145391102064574"
"80","0.0144154533660124"
"81","0.0289645184648801"
"82","0.0150060024009635"
"83","0.0581395348837166"
"84","0.043177892918822"
"85","0.0579290369297603"
"86","0.0431034482758608"
"87","0.0146220207632664"
"88","0.0146929180135147"
"89","0.0445103857566798"
"90","0.0293772032902484"
"91","0.0431841082481621"
"92","0.0145264381173682"
"93","0.0144466917076036"
"94","0.0147340503904525"
"95","0.014660606949124"
"96","0.087310826542486"
"97","0.0147557916482244"
"98","0.0149723012426994"
"99","0.0147470874502287"
"mean","0.0352300957168765"
"min","0.0142551674982228"
"max","0.10158177332753"
"lower","0.0307760912648835"
"upper","0.0396841001688696"
"error","0.00445400445199304"
