"run","UDPPacketLoss (Percent)"
"0","0.0583175389998525"
"1","0.0870827285921583"
"2","0.0143041052782178"
"3","0.0745489786789899"
"4","0.0148456057007085"
"5","0.117457054764347"
"6","0.0297265160523197"
"7","0.044065804935367"
"8","0.014760147601478"
"9","0.0436681222707458"
"10","0.0147928994082891"
"11","0.0145095763203762"
"12","0.118150937823069"
"13","0.0749512816669129"
"14","0.0889415950192651"
"15","0.0146006716308933"
"16","0.0441306266549035"
"17","0.10144927536232"
"18","0.0443262411347511"
"19","0.0290107339715684"
"20","0.0451671183378521"
"21","0.0720046082949288"
"22","0.0296208530805697"
"23","0.103290541537548"
"24","0.0147994672191842"
"25","0.0297353553375013"
"26","0.0576036866359431"
"27","0.0441436138905238"
"28","0.0453377663593768"
"29","0.0444773906597473"
"30","0.0443524541691276"
"31","0.0580214679431368"
"32","0.0450112528131985"
"33","0.0148522204069468"
"34","0.0145496871817308"
"35","0.0294767870302137"
"36","0.0439496044535637"
"37","0.0448229493500651"
"38","0.0292269472453643"
"39","0.0584197458741054"
"40","0.0735943479540757"
"41","0.014349261013058"
"42","0.0445500445500402"
"43","0.0594177064765278"
"44","0.0292354918871474"
"45","0.0146864444118044"
"46","0.014684287812039"
"47","0.0867804454729559"
"48","0.0446428571428625"
"49","0.044569900460556"
"50","0.0145964092833184"
"51","0.0731743011854191"
"52","0.0299490865528607"
"53","0.0147427392009458"
"54","0.0740302043233609"
"55","0.0301340967304498"
"56","0.0146498681511842"
"57","0.101996211569289"
"58","0.0431903253671151"
"59","0.0292141396435852"
"60","0.0144717800289462"
"61","0.103001765744559"
"62","0.0438084112149517"
"63","0.0149499177754531"
"64","0.014609203798388"
"65","0.0147318797878659"
"66","0.10310796877302"
"67","0.0148698884758325"
"68","0.0441306266549035"
"69","0.0145539222820568"
"70","0.130756937381959"
"71","0.0150217815832909"
"72","0.0584368151935744"
"73","0.102504026943917"
"74","0.0143822810297678"
"75","0.0145815106445069"
"76","0.0151538111835103"
"77","0.0435034802784173"
"78","0.0293169158604556"
"79","0.0424868998725403"
"80","0.0293341155764182"
"81","0.0439882697947258"
"82","0.0300797112347762"
"83","0.0143947027493874"
"84","0.0429123158346423"
"85","0.0584880830530765"
"86","0.0585651537335252"
"87","0.0731207955542601"
"88","0.0144927536231854"
"89","0.0146198830409339"
"90","0.0145518044237458"
"91","0.0434593654932591"
"92","0.029256875365713"
"93","0.0294377391816258"
"94","0.0581226387677991"
"95","0.0441891294741481"
"96","0.0745489786789899"
"97","0.0433463372345066"
"98","0.0743162901307937"
"99","0.029664787896766"
"mean","0.0443396168422595"
"min","0.0143041052782178"
"max","0.130756937381959"
"lower","0.0385981394603269"
"upper","0.0500810942241921"
"error","0.0057414773819326"
