"run","Overhead (Percent)"
"0","0.854436745261671"
"1","0.857382636982264"
"2","0.867394535381063"
"3","0.870563099652732"
"4","0.8825180618332"
"5","0.881022729434479"
"6","0.852653484447415"
"7","0.875493580629605"
"8","0.853034984859434"
"9","0.843225649179887"
"10","0.863857358113778"
"11","0.865033207423381"
"12","0.876432663466698"
"13","0.886347366624255"
"14","0.879532455825584"
"15","0.860866882836628"
"16","0.854436745261671"
"17","0.863857358113778"
"18","0.855459104437698"
"19","0.883063078349307"
"20","0.855459104437698"
"21","0.870165763717803"
"22","0.866605994954091"
"23","0.853416826811636"
"24","0.84609461197525"
"25","0.859314839294258"
"26","0.862424542941455"
"27","0.83206278498234"
"28","0.861774833375408"
"29","0.857897040805682"
"30","0.849613721805279"
"31","0.862814839129971"
"32","0.857639761760402"
"33","0.868184512129287"
"34","0.863205488740908"
"35","0.874422804278948"
"36","0.860090160895477"
"37","0.860219517204127"
"38","0.871358861109167"
"39","0.854819843459883"
"40","0.849866207290772"
"41","0.856355677769451"
"42","0.866474710916928"
"43","0.859573124468506"
"44","0.846846250603624"
"45","0.878721702356606"
"46","0.865687841252623"
"47","0.842852870405771"
"48","0.854436745261671"
"49","0.869504342542996"
"50","0.843225649179887"
"51","0.850371628726462"
"52","0.86686868241371"
"53","0.856997238762568"
"54","0.856740499045798"
"55","0.870298168723511"
"56","0.848605278293377"
"57","0.857511180096613"
"58","0.859443962476036"
"59","0.858412062253335"
"60","0.87202310778906"
"61","0.856227480821296"
"62","0.869107972260449"
"63","0.86516405497171"
"64","0.867131529174384"
"65","0.864640902143545"
"66","0.86359649225453"
"67","0.865033207423381"
"68","0.849613721805279"
"69","0.852272325117544"
"70","0.861255770120782"
"71","0.857125666332559"
"72","0.855203285346644"
"73","0.859314839294258"
"74","0.847850515279387"
"75","0.853544183439473"
"76","0.867131529174384"
"77","0.874422804278948"
"78","0.861255770120782"
"79","0.857382636982264"
"80","0.856740499045798"
"81","0.865818886934689"
"82","0.863466118397787"
"83","0.86151522356415"
"84","0.852907780129154"
"85","0.866081097359093"
"86","0.861645008914959"
"87","0.854947619211688"
"88","0.867657701178876"
"89","0.870960798617268"
"90","0.863987850151975"
"91","0.848479391152693"
"92","0.853034984859434"
"93","0.863987850151975"
"94","0.850371628726462"
"95","0.850498078029883"
"96","0.858154474256979"
"97","0.856099322249714"
"98","0.854564406501987"
"99","0.867394535381063"
"mean","0.860806024537101"
"min","0.83206278498234"
"max","0.886347366624255"
"lower","0.858897217165812"
"upper","0.862714831908391"
"error","0.00190880737128951"
