"run","Overhead (Percent)"
"0","0.0239824927802704"
"1","0.0238814625303993"
"2","0.0235193116223668"
"3","0.0245299892173986"
"4","0.0244097977424055"
"5","0.0241658074257087"
"6","0.0244424602704088"
"7","0.0241587050581407"
"8","0.0242692630447842"
"9","0.0239405836653136"
"10","0.0243231229232784"
"11","0.0238572033190246"
"12","0.0243087369282318"
"13","0.0246624643967548"
"14","0.0243916895851862"
"15","0.0240070075929463"
"16","0.0241942587053526"
"17","0.0238502811656549"
"18","0.0243015503103067"
"19","0.0238537417401522"
"20","0.0247627636117816"
"21","0.0236921729577624"
"22","0.0243555537514405"
"23","0.0242836023424223"
"24","0.0243339235987327"
"25","0.0244497304841069"
"26","0.0236887591002335"
"27","0.0242013819960708"
"28","0.0248563634066856"
"29","0.024384453842743"
"30","0.0243159277979642"
"31","0.0238606659027093"
"32","0.0246772722397724"
"33","0.0244206755480782"
"34","0.0239231647320165"
"35","0.0242370614597478"
"36","0.0240949711201106"
"37","0.0245739891947691"
"38","0.024031572574801"
"39","0.0240245488802755"
"40","0.024215641168387"
"41","0.0235935689155017"
"42","0.0244243036380699"
"43","0.024435194379073"
"44","0.0240386003773505"
"45","0.0241480593310767"
"46","0.024144512840027"
"47","0.0237984927766001"
"48","0.0244752103263949"
"49","0.024435194379073"
"50","0.0239999982481753"
"51","0.024077326883617"
"52","0.0246255224216954"
"53","0.0242406351931115"
"54","0.0243591625159903"
"55","0.0247776921795258"
"56","0.02408791032323"
"57","0.0239789947506567"
"58","0.0236785234280193"
"59","0.0240210385723964"
"60","0.0237950482128348"
"61","0.024215641168387"
"62","0.0240175292901732"
"63","0.024581337875199"
"64","0.0240210385723964"
"65","0.0242227770574055"
"66","0.0242406351931115"
"67","0.0244497304841069"
"68","0.0241942587053526"
"69","0.0239301292627271"
"70","0.0239162042539857"
"71","0.0246995173753367"
"72","0.024031572574801"
"73","0.0240985030710567"
"74","0.0236478694154294"
"75","0.0239754977413229"
"76","0.0249166395182904"
"77","0.0238502811656549"
"78","0.0241055700802368"
"79","0.0232927158336132"
"80","0.0241197165405138"
"81","0.0241161783690642"
"82","0.0247329603781435"
"83","0.0236682965974448"
"84","0.0235260429646506"
"85","0.024052668320946"
"86","0.0240843814763858"
"87","0.024059708469215"
"88","0.0238295387860894"
"89","0.0240386003773505"
"90","0.0239266464905657"
"91","0.0238260852299938"
"92","0.024056187879998"
"93","0.0242049452145947"
"94","0.0239022954418221"
"95","0.0242263465792553"
"96","0.0245299892173986"
"97","0.0237640919511353"
"98","0.0244533672130472"
"99","0.0243916895851862"
"mean","0.024154863011485"
"min","0.0232927158336132"
"max","0.0249166395182904"
"lower","0.0240920331953223"
"upper","0.0242176928276478"
"error","6.28298161627627e-05"
