"run","Overhead (Percent)"
"0","0.458635927174791"
"1","0.450195591204493"
"2","0.453348865216047"
"3","0.463770677431656"
"4","0.45607747679995"
"5","0.457959871907439"
"6","0.470798570177408"
"7","0.458297650221445"
"8","0.457690007536093"
"9","0.45401136533601"
"10","0.458703642499362"
"11","0.457016736024071"
"12","0.465996665216989"
"13","0.45288626436689"
"14","0.454675804575164"
"15","0.44663596559546"
"16","0.449414114753789"
"17","0.45789237598435"
"18","0.457016736024071"
"19","0.463563080903978"
"20","0.456815140654673"
"21","0.465717248859448"
"22","0.448182310431166"
"23","0.455943611979483"
"24","0.457285806793803"
"25","0.453282721528836"
"26","0.452952292393039"
"27","0.455275464883099"
"28","0.456949517800447"
"29","0.455943611979483"
"30","0.456815140654673"
"31","0.454675804575164"
"32","0.457824899953957"
"33","0.463909178444887"
"34","0.453945028203899"
"35","0.449349114163356"
"36","0.456680842519415"
"37","0.46888013364925"
"38","0.461154782458455"
"39","0.450914335927842"
"40","0.465577666298691"
"41","0.45255641277812"
"42","0.455275464883099"
"43","0.457151231816419"
"44","0.465298752036936"
"45","0.454609273148283"
"46","0.455542488596592"
"47","0.462527879817785"
"48","0.457824899953957"
"49","0.464741924851015"
"50","0.447472242008336"
"51","0.463493923355667"
"52","0.45627842148051"
"53","0.449999967410199"
"54","0.458230054702798"
"55","0.459994043530201"
"56","0.462459030778578"
"57","0.457757443807467"
"58","0.458027387732022"
"59","0.46149729192682"
"60","0.465020171754216"
"61","0.453613633113328"
"62","0.456144438691496"
"63","0.460130297679925"
"64","0.454609273148283"
"65","0.461771666039561"
"66","0.468809380654189"
"67","0.469517872939559"
"68","0.455208757860164"
"69","0.452688295738868"
"70","0.461771666039561"
"71","0.457151231816419"
"72","0.460266632572842"
"73","0.460266632572842"
"74","0.446379278277351"
"75","0.461086341563792"
"76","0.464464010729256"
"77","0.458839133153217"
"78","0.454144097782188"
"79","0.453415028209645"
"80","0.457151231816419"
"81","0.460539544875516"
"82","0.45026083693762"
"83","0.464255793166782"
"84","0.456144438691496"
"85","0.457487817884861"
"86","0.459721777173589"
"87","0.45877137782255"
"88","0.449999967410199"
"89","0.459925946711625"
"90","0.455342191459608"
"91","0.453282721528836"
"92","0.446186956327233"
"93","0.455075402440647"
"94","0.463079411009136"
"95","0.453613633113328"
"96","0.453679873417065"
"97","0.465020171754216"
"98","0.458839133153217"
"99","0.461223243674047"
"mean","0.45758299488422"
"min","0.446186956327233"
"max","0.470798570177408"
"lower","0.45653606485958"
"upper","0.45862992490886"
"error","0.00104693002464012"
