"run","Overhead (Percent)"
"0","0.00815046963875252"
"1","0.00834792700321607"
"2","0.0082850515436666"
"3","0.00840064558667605"
"4","0.00836012800642151"
"5","0.00843906694902132"
"6","0.00870756517677233"
"7","0.00837481637080407"
"8","0.00842787620245497"
"9","0.00832363152476488"
"10","0.00842787620245497"
"11","0.00823495477721316"
"12","0.00860150311266894"
"13","0.00873549108617203"
"14","0.00846278972756401"
"15","0.00817843807703474"
"16","0.00829346032380308"
"17","0.00841919278634142"
"18","0.00852458952871911"
"19","0.00835768495341285"
"20","0.00832726682724801"
"21","0.00856543811280038"
"22","0.00850178295914217"
"23","0.00835890630140974"
"24","0.00863135592037453"
"25","0.00832242046250397"
"26","0.00827905570422234"
"27","0.00842415254608597"
"28","0.0085937493544359"
"29","0.00841300129335187"
"30","0.00842291205839257"
"31","0.00836379526511221"
"32","0.00847407344636493"
"33","0.00836991451785817"
"34","0.0082492062122003"
"35","0.00849799372322138"
"36","0.00849799372322138"
"37","0.00850304678883256"
"38","0.0083797239686695"
"39","0.00828025417774651"
"40","0.00852967428201057"
"41","0.00830068144676524"
"42","0.00855774921022223"
"43","0.00843782206536199"
"44","0.00833211883961261"
"45","0.00819014832544757"
"46","0.00833697650947555"
"47","0.0082682850340933"
"48","0.00854241274324875"
"49","0.00848538729525387"
"50","0.00844903925782576"
"51","0.00839817879913531"
"52","0.00848916529465974"
"53","0.0084515360186513"
"54","0.00837236472684684"
"55","0.00850178295914217"
"56","0.0083686899510834"
"57","0.0083870961593038"
"58","0.00829225802462612"
"59","0.00817259550131479"
"60","0.00851190412857856"
"61","0.00832969212686092"
"62","0.00839078712110994"
"63","0.00856287361056335"
"64","0.00856543811280038"
"65","0.00827905570422234"
"66","0.00843533339954775"
"67","0.0085093715777022"
"68","0.00839324956762659"
"69","0.008434089617068"
"70","0.00861835101564329"
"71","0.00852713114735158"
"72","0.00856031064349666"
"73","0.0083139528841604"
"74","0.00825039605867618"
"75","0.00836746574257857"
"76","0.00856287361056335"
"77","0.00840187952395127"
"78","0.00837481637080407"
"79","0.00836991451785817"
"80","0.00838832611905513"
"81","0.00839078712110994"
"82","0.00849546944189296"
"83","0.008151631170612"
"84","0.00830309128298075"
"85","0.00844280380495913"
"86","0.00842911815287959"
"87","0.00833576156107829"
"88","0.00843036046939127"
"89","0.00830550251883966"
"90","0.00837113944306019"
"91","0.00836135006860473"
"92","0.00832605470698292"
"93","0.00842167193597821"
"94","0.00833819181208514"
"95","0.00832484293953988"
"96","0.00857957037801332"
"97","0.008434089617068"
"98","0.0084916858304865"
"99","0.00836379526511221"
"mean","0.00840817294506104"
"min","0.00815046963875252"
"max","0.00873549108617203"
"lower","0.00838527496168343"
"upper","0.00843107092843864"
"error","2.28979833776042e-05"
