"run","UDPPacketLoss (Percent)"
"0","2.7176282517076"
"1","2.32796486090776"
"2","2.25318707382153"
"3","2.23214285714286"
"4","2.35045954497514"
"5","2.46394230769231"
"6","2.61324041811847"
"7","2.09800689345122"
"8","2.4443474465299"
"9","2.10708615961899"
"10","2.17198581560284"
"11","2.24719101123596"
"12","2.46599910327305"
"13","2.41947678814456"
"14","2.03374510394697"
"15","2.5949274299956"
"16","2.26310410278873"
"17","2.24420493134505"
"18","2.40840753174719"
"19","3.0244048510256"
"20","2.23716917678023"
"21","2.33283803863299"
"22","2.12071778140294"
"23","2.20341456296512"
"24","2.49531227462859"
"25","2.40469208211144"
"26","2.77085471338513"
"27","1.84206768527774"
"28","2.3252391464312"
"29","2.72833381966735"
"30","2.25061710469"
"31","2.12608888232688"
"32","2.25707166935366"
"33","2.84618787789411"
"34","2.63041880969875"
"35","2.5476758045292"
"36","2.46406570841889"
"37","2.27807172251616"
"38","2.37953599048185"
"39","2.40665110851809"
"40","1.44969980963537"
"41","2.42512783053324"
"42","2.26532425229493"
"43","2.54833040421792"
"44","1.6598718695399"
"45","2.61819269898265"
"46","2.23438887244747"
"47","2.52800919276071"
"48","2.22027461291265"
"49","2.20041629497473"
"50","2.12121212121212"
"51","2.62052989720574"
"52","2.19389267714201"
"53","2.34123500146327"
"54","2.56859311150029"
"55","2.27509293680297"
"56","2.36129219180067"
"57","2.48538011695907"
"58","2.08915698102103"
"59","2.35932004689332"
"60","2.03136669156087"
"61","2.60970987024347"
"62","2.22849502302778"
"63","2.18967302855452"
"64","2.3393544566183"
"65","1.97095435684648"
"66","2.28681026851578"
"67","2.33382570162481"
"68","2.43478260869565"
"69","2.05779334500875"
"70","2.35259520658727"
"71","1.86764705882353"
"72","2.40770465489567"
"73","2.03120400353253"
"74","2.38749819128925"
"75","2.26079346557759"
"76","2.39715892275821"
"77","2.64920375055812"
"78","2.58178084201262"
"79","2.75510204081633"
"80","2.11143695014663"
"81","2.35033259423504"
"82","2.01183431952663"
"83","2.28142478657639"
"84","2.27338968230837"
"85","2.29323864476993"
"86","2.55431591309454"
"87","2.64842840512224"
"88","1.90476190476191"
"89","2.34944237918215"
"90","2.07100591715976"
"91","2.48806596267901"
"92","2.62852163810631"
"93","2.74717202879389"
"94","2.30936819172113"
"95","2.26711233832292"
"96","2.84256559766763"
"97","2.05248497287788"
"98","2.71802325581395"
"99","2.98661174047374"
"mean","2.34756808073969"
"min","1.44969980963537"
"max","3.0244048510256"
"lower","2.29544041186464"
"upper","2.39969574961475"
"error","0.052127668875054"
