"run","UDPPacketLoss (Percent)"
"0","0.10137581462708"
"1","0.0437381542498949"
"2","0.0729820464165809"
"3","0.0726110949753167"
"4","0.0148279952550401"
"5","0.0146950771491516"
"6","0.0440722785367997"
"7","0.0145222189950611"
"8","0.0442543147956886"
"9","0.0441436138905238"
"10","0.0730033581544776"
"11","0.0145518044237458"
"12","0.0450924395009822"
"13","0.0302388872089554"
"14","0.0148126203525445"
"15","0.0143843498273899"
"16","0.029073993312978"
"17","0.0581141943919783"
"18","0.0298418382572385"
"19","0.0738334317779143"
"20","0.0746268656716453"
"21","0.0585394409483353"
"22","0.0146907595122703"
"23","0.0146649068778371"
"24","0.0445964025568624"
"25","0.0148787382829974"
"26","0.0289687137891126"
"27","0.0289729103288394"
"28","0.0901848790019533"
"29","0.103382070595182"
"30","0.0145751348199941"
"31","0.044267374944662"
"32","0.0584880830530765"
"33","0.0147863374242219"
"34","0.0434090580234359"
"35","0.0147232037691403"
"36","0.0148676776687506"
"37","0.014883167137969"
"38","0.0438020148926799"
"39","0.0145412243710896"
"40","0.0146220207632664"
"41","0.0434719605854172"
"42","0.0148588410104011"
"43","0.0442347390150366"
"44","0.0437764482708269"
"45","0.0435666569851834"
"46","0.0145772594752236"
"47","0.07250580046404"
"48","0.0443590122726656"
"49","0.0447961773928585"
"50","0.0443721342996639"
"51","0.0294811320754707"
"52","0.0148060408646677"
"53","0.0301340967304498"
"54","0.102986611740474"
"55","0.0294117647058778"
"56","0.0149276011344956"
"57","0.0145264381173682"
"58","0.0443000590667486"
"59","0.0435161009573526"
"60","0.0445434298441016"
"61","0.101744186046515"
"62","0.0444115470022211"
"63","0.0894187779433731"
"64","0.0147797812592332"
"65","0.0715409929889832"
"66","0.0576867608883758"
"67","0.0297441998810211"
"68","0.0145730107840247"
"69","0.0145348837209291"
"70","0.0449236298292854"
"71","0.0153633430634459"
"72","0.0148148148148119"
"73","0.0581818181818128"
"74","0.100820970761917"
"75","0.0293470286133579"
"76","0.103138352733168"
"77","0.0443786982248562"
"78","0.0288267512251417"
"79","0.0719424460431606"
"80","0.0145137880986912"
"81","0.0296823983377825"
"82","0.0298685782556762"
"83","0.0724847781965798"
"84","0.0725689404934671"
"85","0.0295726748484437"
"86","0.0586596275113704"
"87","0.0433588668882767"
"88","0.0147449130050159"
"89","0.0144801621778212"
"90","0.0148809523809579"
"91","0.0435161009573526"
"92","0.0290149426954933"
"93","0.0439367311072081"
"94","0.0148126203525445"
"95","0.0146327187591444"
"96","0.0748502994011968"
"97","0.073844336139417"
"98","0.0149543891132087"
"99","0.0146391450739247"
"mean","0.0406498177334019"
"min","0.0143843498273899"
"max","0.103382070595182"
"lower","0.0354830111239971"
"upper","0.0458166243428067"
"error","0.00516680660940479"
