"run","Overhead (Percent)"
"0","0.447884414365012"
"1","0.454448522986786"
"2","0.452706057166638"
"3","0.460239845559232"
"4","0.45491994258151"
"5","0.449326665008294"
"6","0.45071205030744"
"7","0.460792520204704"
"8","0.445156580252568"
"9","0.450381422360518"
"10","0.451640396377785"
"11","0.450117269052986"
"12","0.444640755747338"
"13","0.455595098278785"
"14","0.443740933525518"
"15","0.448998065745351"
"16","0.448932403558613"
"17","0.452239212416086"
"18","0.454112392447308"
"19","0.45485253705345"
"20","0.45177332952367"
"21","0.453575616609366"
"22","0.44567360295633"
"23","0.438417563666269"
"24","0.455798035946694"
"25","0.445156580252568"
"26","0.447688460865651"
"27","0.441189965421819"
"28","0.460861697878569"
"29","0.445932564938076"
"30","0.452106004999558"
"31","0.447362252451016"
"32","0.450249306963236"
"33","0.45634008797829"
"34","0.449458239424726"
"35","0.451507541439363"
"36","0.457155587702488"
"37","0.455798035946694"
"38","0.455189764591506"
"39","0.443420450424639"
"40","0.457837400608695"
"41","0.454987368090457"
"42","0.46176290149196"
"43","0.439421669093783"
"44","0.457700875376407"
"45","0.457837400608695"
"46","0.464980273782166"
"47","0.448015145357914"
"48","0.442206824963496"
"49","0.45491994258151"
"50","0.456747473832207"
"51","0.452439170785617"
"52","0.452706057166638"
"53","0.445932564938076"
"54","0.453709691567419"
"55","0.458384316978922"
"56","0.441761372732668"
"57","0.460516017063005"
"58","0.451706853170479"
"59","0.446386473288754"
"60","0.469675606664963"
"61","0.456611597753116"
"62","0.452639306057261"
"63","0.453978079415995"
"64","0.446386473288754"
"65","0.456815442201232"
"66","0.452039430714222"
"67","0.454314011076364"
"68","0.452039430714222"
"69","0.455662724086186"
"70","0.455527492541364"
"71","0.461138616408396"
"72","0.45051361531306"
"73","0.463575923922084"
"74","0.447297067805838"
"75","0.456001154485951"
"76","0.451839825445995"
"77","0.44978751283608"
"78","0.437667490899095"
"79","0.446386473288754"
"80","0.442589356791425"
"81","0.444705168426397"
"82","0.46072336329556"
"83","0.446451392782767"
"84","0.442015806910309"
"85","0.444834049787418"
"86","0.441253382114893"
"87","0.448932403558613"
"88","0.451109445179321"
"89","0.455662724086186"
"90","0.451043164043259"
"91","0.442079461255799"
"92","0.445997352462781"
"93","0.44354858809792"
"94","0.45237249835157"
"95","0.450117269052986"
"96","0.447101627796269"
"97","0.453040108246745"
"98","0.459688495081724"
"99","0.452772827966606"
"mean","0.451419873286628"
"min","0.437667490899095"
"max","0.469675606664963"
"lower","0.450189260360806"
"upper","0.45265048621245"
"error","0.00123061292582211"
